Data;Area desmatada;uf;municipio
22/09/2021;0.19;PA;Ruropolis
09/05/2019;0.18;MT;Brasnorte
10/02/2018;0.1;PA;Jacunda
17/01/2018;0.09;PA;Alenquer
03/10/2021;0.13;PA;Altamira
17/01/2018;0.25;PA;Alenquer
03/10/2021;0.13;PA;Altamira
17/01/2018;1.85;PA;Alenquer
10/02/2018;0.36;PA;Portel
24/09/2022;0.12;MT;Matupa
14/08/2019;0.13;RO;Alto Paraiso
22/09/2021;0.13;PA;Altamira
09/05/2019;0.75;MT;Canarana
17/01/2018;0.15;PA;Alenquer
17/01/2018;0.19;PA;Alenquer
17/01/2018;0.18;PA;Alenquer
17/01/2018;0.94;PA;Alenquer
24/09/2022;0.42;MT;Matupa
09/05/2019;0.07;MT;Brasnorte
09/10/2016;0.75;MT;Cocalinho
17/01/2018;0.13;PA;Alenquer
23/08/2020;0.1;AM;Guajara
17/01/2018;0.08;PA;Alenquer
16/02/2018;0.22;MA;Sao Francisco do Brejao
22/09/2021;3.12;RO;Pimenteiras do Oeste
24/08/2019;0.09;PA;Novo Progresso
09/05/2019;2.44;MT;Canarana
09/10/2016;1.71;MT;Gaucha do Norte
17/01/2018;1.91;PA;Alenquer
17/01/2018;0.09;PA;Alenquer
23/08/2020;0.08;AC;Feijo
17/01/2018;2.56;PA;Alenquer
17/01/2018;0.07;PA;Alenquer
03/10/2021;0.1;PA;Novo Progresso
24/09/2022;0.75;PA;Sao Felix do Xingu
17/01/2018;0.17;PA;Alenquer
14/08/2019;0.08;RO;Alto Paraiso
12/08/2019;0.02;PA;Itaituba
22/09/2021;0.15;PA;Trairao
09/10/2016;0.77;MT;Gaucha do Norte
12/05/2019;0.06;MT;Tapurah
28/09/2020;0.45;PA;Altamira
23/08/2020;0.07;AM;Guajara
23/08/2020;0.09;AC;Manoel Urbano
05/12/2017;0.54;PA;Alenquer
17/01/2018;0.07;PA;Itaituba
17/01/2018;0.66;PA;Alenquer
24/09/2022;0.11;PA;Sao Felix do Xingu
23/08/2020;0.1;AC;Manoel Urbano
17/01/2018;0.42;PA;Alenquer
22/09/2021;0.12;PA;Altamira
24/08/2019;0.14;PA;Itaituba
09/10/2016;1.27;MT;Gaucha do Norte
26/09/2018;3.21;MT;Gaucha do Norte
17/01/2018;0.23;PA;Alenquer
03/10/2021;0.12;MT;Claudia
19/10/2020;3.74;PA;Altamira
18/01/2018;0.08;PA;Ourilandia do Norte
23/08/2020;0.07;AC;Manoel Urbano
23/08/2020;0.07;AC;Brasileia
17/01/2018;1.14;PA;Alenquer
24/09/2022;0.14;PA;Sao Felix do Xingu
17/01/2018;0.09;PA;Alenquer
22/09/2021;0.07;PA;Altamira
17/01/2018;0.46;PA;Alenquer
26/05/2021;2.62;PA;Altamira
06/09/2017;0.06;PA;Ruropolis
23/08/2020;0.1;AC;Brasileia
18/01/2018;1.27;PA;Parauapebas
23/08/2020;0.07;AC;Brasileia
18/01/2018;0.23;PA;Parauapebas
16/08/2022;0.16;PA;Pacaja
24/09/2022;0.14;MT;Matupa
18/01/2018;0.69;PA;Parauapebas
29/08/2020;0.14;AC;Brasileia
24/08/2019;0.1;PA;Itaituba
22/09/2021;0.38;PA;Ruropolis
